,Product_PO,SKU_PO,Quantity_PO,Cost_PO,Discounts($)_PO,Discounts(%)_PO,Global Discounts($)_PO,Tax(%)_PO,Total_PO,Notes_PO,Line #_INV,Whse Status_INV,Mac SKU #_INV,Cust Item #_INV,Description_INV,Qty Ord_INV,Qty Shipped_INV,Qty B/O_INV,List Price_INV,Discount %_INV,Net Price_INV,UOM_INV,Ext Price_INV,UPC/EAN_INV,Account #_INV,PO #_INV,Order #_INV,BO #_INV,Invoice #_INV,Box #_INV,Same Qty
UC4800-6P,LePen Flex 6 Piece Pastel Set,28617487809,6.0,6.65,-,-,-,-,39.9,,,,,,,,,,,,,,,,,,,,,,True
CME34-S,Copic Sketch Earth Colors (E34 Toast),4.51134E+12,2.0,3.2,-,-,-,-,6.4,,18.0,Shipped 05/15/2023,2884.0,,SKETCH MRKR TOAST,2.0,2.0,0.0,7.99,60.0,3.2,PE,6.4,E-4511338007068,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
CMMLB05,Copic Multiliner Black (0.5),4.51134E+12,5.0,1.6,-,-,-,-,8.0,,27.0,Shipped 05/15/2023,3079.0,,MULTILINER 0.5 BLACK,5.0,5.0,0.0,3.99,60.0,1.6,PE,8.0,E-4511338010204,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
CMMLO01,Copic Multiliner Olive (0.1),4.51134E+12,3.0,1.6,-,-,-,-,4.8,,29.0,Shipped 05/15/2023,3096.0,,MULTILINER 0.1 OLIVE,3.0,3.0,0.0,3.99,60.0,1.6,PE,4.8,E-4511338010495,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
CMIN-FV2,Copic Ink Fluorescents (FV2 Fluorescent Dull Violet),4.51134E+12,2.0,3.23,-,-,-,-,6.46,,34.0,Shipped 05/15/2023,92435.0,,INK 12ML FV2 FLO DULL VIOLET,2.0,2.0,0.0,5.99,46.0,3.23,PE,6.46,E-4511338058855,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
CMSPRBRSHN,Super Brush Nib Pack Of 3,4.51134E+12,2.0,3.8,-,-,-,-,7.6,,41.0,Shipped 05/15/2023,3355.0,,SUPER BRUSH NIB PKG/3,2.0,2.0,0.0,7.99,60.0,3.2,EA,6.4,E-4511338010129,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,True
DJ284610165,Daniel Smith Watercolor 5 ml Series 1 (Lemon Yellow),7.43162E+11,2.0,3.58,-,-,-,-,7.16,,42.0,Shipped 05/15/2023,70281.0,,DS W/C 5ML LEMON YELLOW,2.0,2.0,0.0,10.19,62.0,3.87,TU,7.74,U-743162032563,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
DJ284610106,Daniel Smith Watercolor 5 ml Series 1 (Ultramarine Blue),7.43162E+11,2.0,3.58,-,-,-,-,7.16,,43.0,Shipped 05/15/2023,70266.0,,DS W/C 5ML ULTRAMARINE BLUE,2.0,2.0,0.0,10.19,62.0,3.87,TU,7.74,U-743162032433,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
DJ284610114,Daniel Smith Watercolor 5 ml Series 1 (Yellow Ochre),7.43162E+11,2.0,3.58,-,-,-,-,7.16,,44.0,Shipped 05/15/2023,70271.0,,DS W/C 5ML YELLOW OCHRE,2.0,2.0,0.0,10.19,62.0,3.87,TU,7.74,U-743162032471,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,True
FR19210005,EcoQua Notebooks A4 Staple Bound Blank (Flamingo),8.00135E+12,2.0,2.99,-,-,-,-,5.98,,45.0,Shipped 05/15/2023,100783.0,,ECOQUA ST BLNK BK A4 FLAM 40S,2.0,2.0,0.0,6.65,60.0,2.66,BK,5.32,E-8001348213383,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,True
