Line #,Whse Status,Mac Item #,Mac SKU #,Cust Item #,Description,Qty Ord,Qty Shipped,Qty B/O,List Price,Discount %,Net Price,UOM,Ext Price,UPC/EAN,Account #,PO #,Order #,BO #,Invoice #,Box #
18,Shipped 05/15/2023,CME34-S,002884,,SKETCH MRKR TOAST,2,2,0,7.99,60,3.2,PE,6.4,E-4511338007068,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
27,Shipped 05/15/2023,CMMLB05,003079,,MULTILINER 0.5 BLACK,5,5,0,3.99,60,1.6,PE,8,E-4511338010204,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
29,Shipped 05/15/2023,CMMLO01,003096,,MULTILINER 0.1 OLIVE,3,3,0,3.99,60,1.6,PE,4.8,E-4511338010495,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
34,Shipped 05/15/2023,CMIN-FV2,092435,,INK 12ML FV2 FLO DULL VIOLET,2,2,0,5.99,46,3.23,PE,6.46,E-4511338058855,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
41,Shipped 05/15/2023,CMSPRBRSHN,003355,,SUPER BRUSH NIB PKG/3,2,2,0,7.99,60,3.2,EA,6.4,E-4511338010129,3003330000,ALB1381,N3240731,00,14596857,00000824352016777387
42,Shipped 05/15/2023,DJ284610165,070281,,DS W/C 5ML LEMON YELLOW,2,2,0,10.19,62,3.87,TU,7.74,U-743162032563,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
43,Shipped 05/15/2023,DJ284610106,070266,,DS W/C 5ML ULTRAMARINE BLUE,2,2,0,10.19,62,3.87,TU,7.74,U-743162032433,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
44,Shipped 05/15/2023,DJ284610114,070271,,DS W/C 5ML YELLOW OCHRE,2,2,0,10.19,62,3.87,TU,7.74,U-743162032471,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
45,Shipped 05/15/2023,FR19210005,100783,,ECOQUA ST BLNK BK A4 FLAM 40S,2,2,0,6.65,60,2.66,BK,5.32,E-8001348213383,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
46,Shipped 05/15/2023,FR19210012,100789,,ECOQUA ST BLNK BK A4 WINE 40S,2,2,0,6.65,60,2.66,BK,5.32,E-8001348213451,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
47,Shipped 05/15/2023,SK37326,775967,,GELLYROLL FINE PURPLE,6,6,0,1.66,50,0.83,PE,4.98,U-084511358379,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
48,Shipped 05/15/2023,SK32032,091170,,GELLYROLL MOONLT FN BLUE GREEN,6,6,0,1.66,50,0.83,PE,4.98,U-084511320321,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
49,Shipped 05/15/2023,SK38165,195197,,GELLYROLL MOONLT MD FLO ORANGE,9,9,0,1.66,50,0.83,PE,7.47,U-084511381650,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
50,Shipped 05/15/2023,SK38167,195308,,GELLYROLL MOONLT MD FLO PINK,9,9,0,1.66,50,0.83,PE,7.47,U-084511381674,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
51,Shipped 05/15/2023,SK38166,195316,,GELLYROLL MOONLT MD FLO VERMLN,6,6,0,1.66,50,0.83,PE,4.98,U-084511381667,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
52,Shipped 05/15/2023,SK37962,086371,,GELLYROLL STRDST SILVER,12,12,0,2,50,1,PE,12,U-084511379626,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
53,Shipped 05/15/2023,SK31031,082351,,GELLYROLL BOLD WHITE,15,15,0,1.66,50,0.83,PE,12.45,U-084511310315,3003330000,ALB1381,N3240731,00,14596857,00000824352016777356
55,Shipped 05/15/2023,PX364224000,076826,,PC-17K XBROAD BLACK,4,4,0,10.9,60,4.36,PE,17.44,E-4902778364222,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
56,Shipped 05/15/2023,PX265447000,081908,,PC-3M FINE GLITTER LIGHT BLUE,3,3,0,4.45,60,1.78,PE,5.34,E-4902778197974,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
57,Shipped 05/15/2023,PX264333000,076894,,PC-5M MEDIUM APPLE GREEN,4,4,0,4.45,60,1.78,PE,7.12,E-4902778036853,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
58,Shipped 05/15/2023,PX264598000,081916,,PC-5M MEDIUM FLUO ORANGE,3,3,0,4.45,60,1.78,PE,5.34,E-4902778198063,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
59,Shipped 05/15/2023,PX264606000,081917,,PC-5M MEDIUM FLUO PINK,3,3,0,4.45,60,1.78,PE,5.34,E-4902778198070,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
60,Shipped 05/15/2023,PX264317000,076927,,PC-5M MEDIUM GOLD,3,3,0,4.45,60,1.78,PE,5.34,E-4902778916261,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
61,Shipped 05/15/2023,PX264382000,076900,,PC-5M MEDIUM IVORY,3,3,0,4.45,60,1.78,PE,5.34,E-4902778107454,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
62,Shipped 05/15/2023,PX264325000,076928,,PC-5M MEDIUM SILVER,3,3,0,4.45,60,1.78,PE,5.34,E-4902778916278,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
63,Shipped 05/15/2023,PX264408000,076903,,PC-5M MEDIUM STRAW YELLOW,3,3,0,4.45,60,1.78,PE,5.34,E-4902778107478,3003330000,ALB1381,N3240731,00,14596857,00000824352016777370
