,Product_PO,SKU_PO,Quantity_PO,Cost_PO,Discounts($)_PO,Discounts(%)_PO,Global Discounts($)_PO,Tax(%)_PO,Total_PO,Notes_PO,Line #_INV,Whse Status_INV,Mac SKU #_INV,Cust Item #_INV,Description_INV,Qty Ord_INV,Qty Shipped_INV,Qty B/O_INV,List Price_INV,Discount %_INV,Net Price_INV,UOM_INV,Ext Price_INV,UPC/EAN_INV,Account #_INV,PO #_INV,Order #_INV,BO #_INV,Invoice #_INV,Box #_INV,Same QTY,Same PRICE
UC4800-6P,LePen Flex 6 Piece Pastel Set,28617487809,6.0,6.65,-,-,-,-,39.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.0,-6.65
CMSPRBRSHN,Super Brush Nib Pack Of 3,4.51134E+12,2.0,3.8,-,-,-,-,7.6,0.0,41.0,Shipped 05/15/2023,3355.0,0.0,SUPER BRUSH NIB PKG/3,2.0,2.0,0.0,7.99,60.0,3.2,EA,6.4,E-4511338010129,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777387,0.0,-0.5999999999999996
DJ284610165,Daniel Smith Watercolor 5 ml Series 1 (Lemon Yellow),7.43162E+11,2.0,3.58,-,-,-,-,7.16,0.0,42.0,Shipped 05/15/2023,70281.0,0.0,DS W/C 5ML LEMON YELLOW,2.0,2.0,0.0,10.19,62.0,3.87,TU,7.74,U-743162032563,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.29000000000000004
DJ284610106,Daniel Smith Watercolor 5 ml Series 1 (Ultramarine Blue),7.43162E+11,2.0,3.58,-,-,-,-,7.16,0.0,43.0,Shipped 05/15/2023,70266.0,0.0,DS W/C 5ML ULTRAMARINE BLUE,2.0,2.0,0.0,10.19,62.0,3.87,TU,7.74,U-743162032433,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.29000000000000004
DJ284610114,Daniel Smith Watercolor 5 ml Series 1 (Yellow Ochre),7.43162E+11,2.0,3.58,-,-,-,-,7.16,0.0,44.0,Shipped 05/15/2023,70271.0,0.0,DS W/C 5ML YELLOW OCHRE,2.0,2.0,0.0,10.19,62.0,3.87,TU,7.74,U-743162032471,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777370,0.0,0.29000000000000004
FR19210005,EcoQua Notebooks A4 Staple Bound Blank (Flamingo),8.00135E+12,2.0,2.99,-,-,-,-,5.98,0.0,45.0,Shipped 05/15/2023,100783.0,0.0,ECOQUA ST BLNK BK A4 FLAM 40S,2.0,2.0,0.0,6.65,60.0,2.66,BK,5.32,E-8001348213383,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,-0.33000000000000007
FR19210012,EcoQua Notebooks A4 Staple Bound Blank (Wine),8.00135E+12,2.0,2.99,-,-,-,-,5.98,0.0,46.0,Shipped 05/15/2023,100789.0,0.0,ECOQUA ST BLNK BK A4 WINE 40S,2.0,2.0,0.0,6.65,60.0,2.66,BK,5.32,E-8001348213451,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,-0.33000000000000007
SK32032,Gelly Roll Moonlight Fine Point (Blue Green),84511320321,6.0,0.75,-,-,-,-,4.5,0.0,48.0,Shipped 05/15/2023,91170.0,0.0,GELLYROLL MOONLT FN BLUE GREEN,6.0,6.0,0.0,1.66,50.0,0.83,PE,4.98,U-084511320321,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.07999999999999996
SK38165,Gelly Roll Moonlight Medium Point (Fluorescent Orange),84511381650,9.0,0.75,-,-,-,-,6.75,0.0,49.0,Shipped 05/15/2023,195197.0,0.0,GELLYROLL MOONLT MD FLO ORANGE,9.0,9.0,0.0,1.66,50.0,0.83,PE,7.47,U-084511381650,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.07999999999999996
SK38167,Gelly Roll Moonlight Medium Point (Fluorescent Pink),84511381674,9.0,0.75,-,-,-,-,6.75,0.0,50.0,Shipped 05/15/2023,195308.0,0.0,GELLYROLL MOONLT MD FLO PINK,9.0,9.0,0.0,1.66,50.0,0.83,PE,7.47,U-084511381674,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.07999999999999996
SK38166,Gelly Roll Moonlight Medium Point (Fluorescent Vermillion),84511381667,6.0,0.75,-,-,-,-,4.5,0.0,51.0,Shipped 05/15/2023,195316.0,0.0,GELLYROLL MOONLT MD FLO VERMLN,6.0,6.0,0.0,1.66,50.0,0.83,PE,4.98,U-084511381667,3003330000.0,ALB1381,N3240731,0.0,14596857.0,00000824352016777356,0.0,0.07999999999999996
